"","colonia","dia.sem","long","lat","n"
"486","JOCOTAN","Wed",-103.4414271,20.68630136,3
"487","LAGOS DEL COUNTRY","Mon",-103.3692078,20.7146694666667,3
"488","LAGOS DEL COUNTRY","Wed",-103.369217733333,20.71394891,3
"489","LOMA BONITA EJIDAL","Fri",-103.4053157,20.6293621266667,3
"490","LOMA BONITA EJIDAL","Mon",-103.404932466667,20.6301077566667,3
"491","LOMA BONITA EJIDAL","Sat",-103.405731866667,20.6266636633333,3
"492","LOMA BONITA EJIDAL","Tue",-103.404922,20.62686946,3
"493","LOMA BONITA RESIDENCIAL","Fri",-103.4036799,20.63912392,3
"494","LOMAS ALTAS","Mon",-103.411095333333,20.6853389366667,3
"495","LOMAS ALTAS","Tue",-103.409492866667,20.6858902866667,3
"496","LOMAS DE ATEMAJAC","Sat",-103.3621649,20.7152587133333,3
"497","LOMAS DE GUADALUPE","Fri",-103.417374266667,20.6694120833333,3
"498","LOMAS DE LA PRIMAVERA","Mon",-103.471208266667,20.6441939366667,3
"499","LOMAS DE LA PRIMAVERA","Wed",-103.471987666667,20.6445420266667,3
"500","LOMAS DE SAN GONZALO","Thu",-103.435907233333,20.7712060733333,3
"501","LOMAS DE ZAPOPAN","Wed",-103.4042131,20.74494209,3
"502","LOMAS DEL BATAN","Mon",-103.3505746,20.72327474,3
"503","LOMAS DEL BATAN","Thu",-103.350242266667,20.7245621266667,3
"504","LOMAS DEL CENTINELA","Mon",-103.362660366667,20.75803386,3
"505","LOMAS DEL REFUGIO","Mon",-103.338552466667,20.7427307133333,3
"506","LOMAS DEL REFUGIO","Tue",-103.3371131,20.74298311,3
"507","LOMAS DEL SEMINARIO","Mon",-103.4219921,20.66885249,3
"508","LOMAS UNIVERSIDAD","Thu",-103.431866266667,20.68396423,3
"509","LOMAS UNIVERSIDAD","Wed",-103.433329633333,20.6835868366667,3
"510","MAGDALENA LA","Thu",-103.461542,20.8033422433333,3
"511","MANTE EL","Fri",-103.423647733333,20.6108537133333,3
"512","MANTE EL","Mon",-103.423946866667,20.60864354,3
"513","MARCELINO GARCIA BARRAGAN","Fri",-103.446093466667,20.7728931833333,3
"514","MARCELINO GARCIA BARRAGAN","Sat",-103.445814333333,20.77177933,3
"515","MARTINICA LA","Fri",-103.3678686,20.74993069,3
"516","MESA COLORADA","Sun",-103.3385173,20.7649010333333,3
"517","MESA COLORADA","Thu",-103.3397819,20.7632719466667,3
"518","MESA COLORADA","Tue",-103.340631566667,20.7651002266667,3
"519","MESA COLORADA PONIENTE","Sat",-103.341582966667,20.7709684033333,3
"520","MIGUEL DE LA MADRID HURTADO","Wed",-103.432700833333,20.6074876266667,3
"521","MIGUEL HIDALGO","Wed",-103.3391501,20.74768759,3
"522","MILPILLAS","Wed",-103.436845533333,20.9208867733333,3
"523","MIRAMAR","Sun",-103.4418995,20.6352357433333,3
"524","MISION DEL BOSQUE","Sat",-103.3885078,20.7617303566667,3
"525","MISION DEL BOSQUE","Wed",-103.388877133333,20.76249196,3
"526","MOLINOS LOS","Sat",-103.446874066667,20.81967844,3
"527","NEXTIPAC","Fri",-103.5274312,20.7638534133333,3
"528","NEXTIPAC","Tue",-103.521544666667,20.7683414133333,3
"529","NUEVO MEXICO","Mon",-103.439106933333,20.7595726233333,3
"530","NUEVO VERGEL","Thu",-103.364007933333,20.7527469466667,3
"531","PARAISOS DEL COLLI","Sun",-103.454482666667,20.6485758566667,3
"532","PINAR DE LA CALMA","Tue",-103.415000766667,20.6203300633333,3
"533","PLAZA ANDARES","Mon",-103.411895333333,20.71037288,3
"534","PLAZA DEL SOL","Tue",-103.401631066667,20.6501328966667,3
"535","PLAZA DEL SOL","Wed",-103.401278933333,20.6510755433333,3
"536","PLAZA PATRIA","Thu",-103.379570666667,20.7122110666667,3
"537","PRADOS TEPEYAC","Fri",-103.4129898,20.65685035,3
"538","PRADOS TEPEYAC","Mon",-103.414084566667,20.6555265033333,3
"539","PRADOS TEPEYAC","Thu",-103.413905166667,20.6577473833333,3
"540","PRADOS VALLARTA","Tue",-103.4178989,20.6763050133333,3
"541","PUERTA DE HIERRO","Wed",-103.4140973,20.7119441566667,3
"542","RESIDENCIAL MOCTEZUMA","Wed",-103.431487433333,20.6516025,3
"543","RESIDENCIAL MOCTEZUMA PONIENTE","Sat",-103.4352401,20.6477575466667,3
"544","RESIDENCIAL PATRIA","Tue",-103.3757562,20.71318198,3
"545","RESIDENCIAL PLAZA GUADALUPE","Fri",-103.4363709,20.6570027133333,3
